app_version,commit_hash,os,arch,scenario,run,bytes,time_to_ticket_ms,connect_ms,download_ms,export_ms,total_ms,effective_mbps,route_kind,success,error
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_10mb,1,10485760,268,173,357,8,366,228.8671,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_10mb,2,10485760,278,3,222,9,231,361.7485,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_10mb,3,10485760,292,3,216,9,225,371.2230,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_10mb,4,10485760,291,3,203,10,213,392.7312,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_10mb,5,10485760,316,3,226,10,237,353.6799,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_100mb,1,104857600,295,3,5225,10,5235,160.2343,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_100mb,2,104857600,300,3,1726,9,1736,483.2017,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_100mb,3,104857600,309,3,1780,8,1789,468.7269,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_100mb,4,104857600,305,173,1918,9,1928,435.0038,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_100mb,5,104857600,303,181,1940,10,1950,430.0220,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_1gb,1,1073741824,323,3,17969,10,17979,477.7542,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_1gb,2,1073741824,397,3,18126,9,18136,473.6287,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_1gb,3,1073741824,369,182,19179,11,19191,447.5978,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_1gb,4,1073741824,413,3,19489,10,19499,440.5152,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_1gb,5,1073741824,382,3,18845,9,18855,455.5771,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,1,20971520,321,171,509,340,849,197.4171,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,2,20971520,308,183,509,329,839,199.8755,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,3,20971520,307,2,334,357,691,242.5100,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,4,20971520,312,178,502,333,835,200.8538,direct,true,
0.5.0,4ce81140fdc2,windows,x86_64,same_machine_many_small,5,20971520,309,192,509,335,844,198.7628,direct,true,
